"place","date","lfs_event","protocols_used"
"Sydney",2002-11-24,1,"Johnston2011"
"Sydney",2002-11-25,1,"Johnston2011"
"Sydney",2002-11-26,1,"Johnston2011"
"Sydney",2002-11-27,1,"Johnston2011"
"Sydney",2002-12-03,1,"Johnston2011"
"Sydney",2002-12-04,1,"Johnston2011"
"Sydney",2002-12-05,1,"Johnston2011"
"Sydney",2002-12-06,1,"Johnston2011"
"Sydney",2002-12-07,1,"Johnston2011"
"Sydney",2002-12-08,1,"Johnston2011"
"Sydney",2002-12-09,1,"Johnston2011"
"Sydney",2002-12-10,1,"Johnston2011"
"Sydney",2002-12-11,1,"Johnston2011"
"Sydney",2002-12-12,1,"Johnston2011"
"Sydney",2002-12-13,1,"Johnston2011"
"Sydney",2002-12-14,1,"Johnston2011"
"Sydney",2002-12-15,1,"Johnston2011"
"Sydney",2002-12-16,1,"Johnston2011"
"Sydney",2002-12-17,1,"Johnston2011"
"Sydney",2002-12-18,1,"Johnston2011"
"Sydney",2002-12-19,1,"Johnston2011"
"Sydney",2002-12-20,1,"Johnston2011"
"Sydney",2002-12-21,1,"Johnston2011"
"Sydney",2002-12-22,1,"Johnston2011"
"Sydney",2002-12-23,1,"Johnston2011"
"Sydney",2002-12-24,1,"Johnston2011"
"Sydney",2002-12-25,1,"Johnston2011"
"Sydney",2002-12-26,1,"Johnston2011"
"Sydney",2002-12-27,1,"Johnston2011"
"Sydney",2002-12-28,1,"Johnston2011"
"Sydney",2002-12-29,1,"Johnston2011"
"Sydney",2002-12-30,1,"Johnston2011"
"Sydney",2002-12-31,1,"Johnston2011"
"Sydney",2003-01-01,1,"Johnston2011"
"Sydney",2003-01-02,1,"Johnston2011"
"Sydney",2003-01-03,1,"Johnston2011"
"Sydney",2003-01-04,1,"Johnston2011"
"Sydney",2003-01-05,1,"Johnston2011"
"Sydney",2003-01-06,1,"Johnston2011"
"Sydney",2003-01-07,1,"Johnston2011"
"Sydney",2003-01-08,1,"Johnston2011"
"Sydney",2003-01-09,1,"Johnston2011"
"Sydney",2003-01-10,1,"Johnston2011"
"Sydney",2003-01-11,1,"Johnston2011"
"Sydney",2003-01-12,1,"Johnston2011"
"Sydney",2003-01-13,1,"Johnston2011"
"Sydney",2003-01-14,1,"Johnston2011"
"Sydney",2003-01-15,1,"Johnston2011"
"Sydney",2003-01-16,1,"Johnston2011"
"Sydney",2003-01-17,1,"Johnston2011"
"Sydney",2003-01-18,1,"Johnston2011"
"Sydney",2003-01-19,1,"Johnston2011"
"Sydney",2003-01-20,1,"Johnston2011"
"Sydney",2003-01-21,1,"Johnston2011"
"Sydney",2003-01-22,1,"Johnston2011"
"Sydney",2003-01-23,1,"Johnston2011"
"Sydney",2003-01-24,1,"Johnston2011"
"Sydney",2003-01-25,1,"Johnston2011"
"Sydney",2003-01-26,1,"Johnston2011"
"Sydney",2003-01-27,1,"Johnston2011"
"Sydney",2003-01-28,1,"Johnston2011"
"Sydney",2003-01-29,1,"Johnston2011"
"Sydney",2003-01-30,1,"Johnston2011"
"Sydney",2003-01-31,1,"Johnston2011"
"Sydney",2003-02-01,1,"Johnston2011"
"Sydney",2003-02-02,1,"Johnston2011"
"Sydney",2003-02-03,1,"Johnston2011"
"Sydney",2003-02-04,1,"Johnston2011"
"Sydney",2003-02-05,1,"Johnston2011"
"Sydney",2003-02-06,1,"Johnston2011"
"Sydney",2003-02-07,1,"Johnston2011"
"Sydney",2003-02-08,1,"Johnston2011"
"Sydney",2003-02-09,1,"Johnston2011"
"Sydney",2003-02-10,1,"Johnston2011"
"Sydney",2003-02-11,1,"Johnston2011"
"Sydney",2003-02-12,1,"Johnston2011"
"Sydney",2003-02-13,1,"Johnston2011"
"Sydney",2003-02-14,1,"Johnston2011"
"Sydney",2003-02-15,1,"Johnston2011"
"Sydney",2003-02-16,1,"Johnston2011"
"Sydney",2003-02-17,1,"Johnston2011"
"Sydney",2003-02-18,1,"Johnston2011"
"Sydney",2003-02-19,1,"Johnston2011"
"Sydney",2003-02-20,1,"Johnston2011"
"Sydney",2003-02-21,1,"Johnston2011"
"Sydney",2003-02-22,1,"Johnston2011"
"Sydney",2003-02-23,1,"Johnston2011"
"Sydney",2003-02-24,1,"Johnston2011"
"Sydney",2003-02-25,1,"Johnston2011"
"Sydney",2003-02-26,1,"Johnston2011"
"Sydney",2003-03-21,1,"Johnston2011"
"Sydney",2003-04-07,1,"Johnston2011"
"Sydney",2003-04-08,1,"Johnston2011"
"Sydney",2003-09-04,1,"Johnston2011"
"Sydney",2003-09-05,1,"Johnston2011"
"Sydney",2003-09-06,1,"Johnston2011"
"Sydney",2003-09-21,1,"Johnston2011"
"Sydney",2003-09-22,1,"Johnston2011"
"Sydney",2003-09-23,1,"Johnston2011"
"Sydney",2003-09-24,1,"Johnston2011"
"Sydney",2003-09-25,1,"Johnston2011"
"Sydney",2003-09-26,1,"Johnston2011"
"Sydney",2003-09-27,1,"Johnston2011"
"Sydney",2003-11-15,1,"Johnston2011"
"Sydney",2003-11-16,1,"Johnston2011"
"Sydney",2003-12-24,1,"Johnston2011"
"Sydney",2003-12-25,1,"Johnston2011"
"Sydney",2003-12-26,1,"Johnston2011"
"Sydney",2004-01-09,1,"Johnston2011"
"Sydney",2004-01-10,1,"Johnston2011"
"Sydney",2004-01-11,1,"Johnston2011"
"Sydney",2004-01-12,1,"Johnston2011"
"Sydney",2004-02-05,1,"Johnston2011"
"Sydney",2004-02-06,1,"Johnston2011"
"Sydney",2004-02-09,1,"Johnston2011"
"Sydney",2004-05-06,1,"Johnston2011"
"Sydney",2004-05-07,1,"Johnston2011"
"Sydney",2004-05-15,1,"Johnston2011"
"Sydney",2004-05-17,1,"Johnston2011"
"Sydney",2004-05-18,1,"Johnston2011"
"Sydney",2004-05-21,1,"Johnston2011"
"Sydney",2004-05-22,1,"Johnston2011"
"Sydney",2004-05-31,1,"Johnston2011"
"Sydney",2004-06-01,1,"Johnston2011"
"Sydney",2004-06-02,1,"Johnston2011"
"Sydney",2004-10-12,1,"Johnston2011"
"Sydney",2004-10-13,1,"Johnston2011"
"Sydney",2004-10-14,1,"Johnston2011"
"Sydney",2004-10-15,1,"Johnston2011"
"Sydney",2004-11-27,1,"Johnston2011"
"Sydney",2004-11-30,1,"Johnston2011"
